name,overall_score,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,superpowers,alter_egos,aliases,place_of_birth,first_appearance,creator,alignment,occupation,base,teams,gender,type_race,height(cm),weight(lb),eye_color,hair_color,skin_color,has_electrokinesis,has_energy_constructs,has_mind_control_resistance,has_matter_manipulation,has_telepathy_resistance,has_mind_control,has_enhanced_hearing,has_dimensional_travel,has_element_control,has_size_changing,has_fire_resistance,has_fire_control,has_dexterity,has_reality_warping,has_illusions,has_energy_beams,has_peak_human_condition,has_shapeshifting,has_heat_resistance,has_jump,has_self-sustenance,has_energy_absorption,has_cold_resistance,has_magic,has_telekinesis,has_toxin_and_disease_resistance,has_telepathy,has_regeneration,has_immortality,has_teleportation,has_force_fields,has_energy_manipulation,has_endurance,has_longevity,has_weapon-based_powers,has_energy_blasts,has_enhanced_senses,has_invulnerability,has_stealth,has_marksmanship,has_flight,has_accelerated_healing,has_weapons_master,has_intelligence,has_reflexes,has_super_speed,has_durability,has_stamina,has_agility,has_super_strength
3-D Man,6,85,30,60,60,40,70,"['Super Speed', 'Super Strength']",[],[''],Unknown,Unknown,Marvel Comics,Good,Unknown,Unknown,"['Annihilators', 'Asgardians', 'Avengers', 'New Avengers']",Male,Human,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
514A (Gotham),10,100,20,30,50,35,100,"['Durability', 'Reflexes', 'Super Strength']","['Batgod', 'Batman', 'Batman (1966)', 'Batman (Arkham)', 'Batman (Burtonverse)', 'Batman (Dark Knight Returns)', 'Batman (DCAU)', 'Batman (DCEU)', 'Batman (Final Batsuit)', 'Batman (Gotham By Gaslight)', 'Batman (Gotham Knight)', 'Batman (Gotham)', 'Batman (Injustice)', 'Batman (Kingdom Come)', 'Batman (New 52)', 'Batman (Pre-Crisis)', 'Batman (Smallville)', 'Batman (The Brave And The Bold)', 'Battle-Suit Batman (DCEU)', 'Black Lantern', 'Dark Knight', 'Dawnbreaker', 'Devastator', 'Green Lantern Batman', 'Grim Knight', 'Hellbat', 'Insider', 'Justice Buster', 'Merciless', 'Murder Machine', 'Red Death', 'Superbat', 'The Batman Who Laughs', 'White Lantern', 'Yellow Lantern']","['Subject 514A', 'Bruce Wayne', 'Bruce 2']",Unknown,Unknown,DC Comics,Unknown,Unknown,Unknown,[],Unknown,Unknown,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
A-Bomb,20,80,100,80,100,100,80,"['Accelerated Healing', 'Agility', 'Berserk Mode', 'Bloodlust', 'Camouflage', 'Cloaking', 'Cold Resistance', 'Durability', 'Emotional Power Up', 'Endurance', 'Energy Resistance', 'Enhanced Senses', 'Fire Resistance', 'Gamma Mutant Physiology', 'Heat Resistance', 'Indestructible Digestion', 'Invulnerability', 'Jump', 'Longevity', 'Natural Armor', 'Natural Weapons', 'Power Augmentation', 'Radiation Absorption', 'Radiation Immunity', 'Rage Power', 'Reactive Power Level', 'Reflexes', 'Regeneration', 'Seismic Power', 'Self-Sustenance', 'Shapeshifting', 'Size Changing', 'Stamina', 'Stealth', 'Super Breath', 'Super Speed', 'Super Strength', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Transformation', 'Underwater breathing']",[],['Rick Jones'],"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,Good,"Musician, adventurer, author; formerly talk show host",Unknown,"['Teen Brigade', 'Ultimate Fantastic Four', 'U-Men', 'Gods', 'Thor Corps', 'Avengers', 'Loners', 'U-Men', 'S.H.I.E.L.D.', 'Fantastic Four']",Male,Human,203.0,980.0,Yellow,No Hair,Unknown,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True
Aa,12,80,50,55,45,100,55,"['Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Force Fields', 'Lantern Power Ring', 'Time Manipulation', 'Time Travel', 'Timeframe Control', 'Weapon-based Powers']",[],[''],Stoneworld,Green Lantern Vol 3 #21,DC Comics,Good,Unknown,Unknown,"['Blue Lantern Corps', 'Green Lantern Corps', 'Justice Legion Alpha', 'Suicide Squad', 'Birds of Prey', 'Secret Six', 'Aquaman Family']",Male,Human,183.14,209.93,Unknown,Unknown,Unknown,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Cash,5,80,10,25,40,30,50,"['Weapon-based Powers', 'Weapons Master']",[],[''],Gotham City,Unknown,DC Comics,Good,Unknown,Unknown,[],Male,Human,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Aayla Secura,8,90,40,45,55,55,85,"['Accelerated Healing', 'Agility', 'Astral Projection', 'Cloaking', 'Danger Sense']",[],[''],Unknown,Unknown,George Lucas,Good,Unknown,Unknown,['Jedi Order'],Female,Twi'lek,183.14,209.93,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Abe Sapien,10,95,30,35,65,100,85,"['Accelerated Healing', 'Agility', 'Cold Resistance', 'Durability', 'Enhanced Sight', 'Immortality', 'Intelligence', 'Longevity', 'Marksmanship', 'Reflexes', 'Stamina', 'Sub-Mariner', 'Super Strength', 'Telepathy', 'Underwater breathing', 'Weapons Master']",[],"['Langdon Everett Caul, Abraham Sapien, Langdon Caul']",Unknown,Hellboy: Seed of Destruction,Dark Horse Comics,Good,Paranormal Investigator,Unknown,['Bureau for Paranormal Research and Defense'],Male,Icthyo Sapien,191.0,145.0,Blue,No Hair,Blue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True
Abin Sur,9,75,90,55,65,100,65,['Lantern Power Ring'],[],['Lagzia'],Ungara,"Showcase #22 (October, 1959)",DC Comics,Good,"Green Lantern, former history professor",Oa,"['Legion of Super-Heroes', 'Green Lantern Corps']",Male,Ungaran,185.0,200.0,Blue,No Hair,Red,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abomination,22,85,100,80,90,100,95,"['Accelerated Healing', 'Adaptation', 'Agility', 'Animation', 'Berserk Mode', 'Camouflage', 'Cold Resistance', 'Durability', 'Endurance', 'Fire Resistance', 'Gamma Mutant Physiology', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Jump', 'Marksmanship', 'Mind Control Resistance', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Rage Power', 'Regeneration', 'Resurrection', 'Seismic Power', 'Stamina', 'Stealth', 'Super Breath', 'Super Speed', 'Super Strength', 'Underwater breathing']","['Abomination (MCU)', 'Chaos War Abomination']","['Agent R-7, Ravager of Worlds']","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,Bad,Ex-Spy,Mobile,"['Annihilators', 'Wrecking Crew', 'Masters of Evil', 'Superiour Six', 'New Enforcers', 'Secret Empire', 'The Mighty Avengers']",Male,Human / Radiation,203.0,980.0,Green,No Hair,Unknown,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True
Abra Kadabra (CW),13,100,10,20,30,100,55,"['Dimensional Travel', 'Illusions', 'Intelligence', 'Intuitive aptitude', 'Matter Manipulation', 'Technopath/Cyberpath', 'Teleportation']","['Alpha', 'Bane (Dark Knight)', 'Bane (new 52)', 'Batman (Bane)', 'Billy Numerous', 'Copperhead', 'Darklight', 'Desaad', 'Doctor Occult', 'El Dorado', 'Fun Haus (BTBATB)', 'Gentry', 'Gluttony', 'Inque', 'Jack', 'Joker (DCEU)', 'Midnighter', 'Mister Mind', 'Mister Mxyzptlk (CW)', 'Music Meister (CW)', 'Prometheus', ""Ra's Al Ghul (CW)"", 'Red X', 'Sea King', ""Shim'Tar"", 'Silver Monkey', 'The Joker (Dark Knight)', 'The Music Meister', 'Weather Wizard']",['Abra Kadabra'],64th Century,The Flash Season 3: Episode 18,DC Comics,Bad,Time-Travelling Criminal,Central City,[],Male,Human,183.0,172.0,Brown,White,Unknown,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
